Seconds,Barometric_Pressure,O2,FlowSet,Flow_Rate,CO2,Temp__Aux1_,Temp__Aux2_,FoxBoxTemp,Marker
0,83.685,20.455,750,749,0.00858,21.685,21.58,26.99,-1
1,83.685,20.455,750,749,0.00858,21.685,21.58,26.99,-1
2,83.685,20.455,750,749,0.00861,21.664,21.587,26.99,-1
3,83.685,20.455,750,749,0.00839,21.657,21.614,26.99,-1
4,83.685,20.455,750,749,0.00826,21.651,21.577,26.99,-1
5,83.685,20.455,750,749,0.00853,21.681,21.582,26.99,-1
6,83.684,20.455,750,749,0.00842,21.659,21.582,26.99,-1
7,83.684,20.456,750,749,0.00842,21.681,21.569,27,-1
8,83.685,20.456,750,749,0.00836,21.677,21.56,27,-1
9,83.684,20.456,750,749,0.00841,21.675,21.566,27,-1
10,83.684,20.455,750,749,0.00842,21.697,21.564,27,-1
11,83.684,20.456,750,749,0.00784,21.667,21.612,27,-1
12,83.684,20.456,750,749,0.00775,21.674,21.606,27,-1
13,83.684,20.456,750,749,0.00784,21.684,21.59,27,-1
14,83.684,20.456,750,749,0.00793,21.657,21.574,27,-1
15,83.684,20.456,750,749,0.00804,21.671,21.573,27,-1
16,83.684,20.456,750,749,0.00787,21.686,21.604,27,-1
17,83.684,20.456,750,749,0.00799,21.685,21.593,27,-1
18,83.684,20.456,750,749,0.00829,21.679,21.577,27,-1
19,83.684,20.457,750,749,0.00807,21.663,21.561,27,-1
20,83.684,20.456,750,749,0.00794,21.673,21.607,27,-1
21,83.684,20.455,750,749,0.00779,21.692,21.59,27,-1
22,83.684,20.456,750,749,0.00802,21.674,21.603,27,-1
23,83.684,20.456,750,749,0.00799,21.698,21.602,27,-1
24,83.684,20.456,750,749,0.00764,21.667,21.583,27,-1
25,83.684,20.457,750,749,0.00773,21.695,21.606,27,-1
26,83.684,20.457,750,749,0.00763,21.687,21.593,27,-1
27,83.684,20.457,750,749,0.00807,21.665,21.625,27,-1
28,83.684,20.456,750,749,0.00822,21.671,21.598,27.01,-1
29,83.684,20.457,750,749,0.00786,21.665,21.621,27.01,-1
30,83.684,20.457,750,749,0.00791,21.653,21.602,27.01,-1
31,83.683,20.457,750,749,0.00785,21.676,21.589,27.01,-1
32,83.683,20.457,750,749,0.00765,21.655,21.599,27.01,-1
