Seconds,Barometric_Pressure,O2,FlowSet,Flow_Rate,CO2,Temp__Aux1_,Temp__Aux2_,FoxBoxTemp,Marker
0,83.642,20.422,750,748,0.01351,21.921,21.694,28.03,-1
1,83.642,20.422,750,748,0.01351,21.921,21.694,28.03,-1
2,83.642,20.422,750,748,0.01367,21.895,21.697,28.03,-1
3,83.642,20.42,750,748,0.01355,21.877,21.719,28.03,-1
4,83.642,20.42,750,748,0.01367,21.898,21.712,28.03,-1
5,83.642,20.42,750,748,0.01385,21.888,21.685,28.03,-1
6,83.642,20.422,750,748,0.01359,21.911,21.699,28.03,-1
7,83.643,20.421,750,748,0.01339,21.883,21.699,28.03,-1
8,83.643,20.422,750,748,0.01332,21.888,21.705,28.03,-1
9,83.643,20.421,750,748,0.01362,21.881,21.718,28.03,-1
10,83.643,20.422,750,748,0.01353,21.903,21.695,28.03,-1
11,83.642,20.423,750,748,0.07618,21.882,21.691,28.03,-1
12,83.641,20.423,750,748,0.04094,21.896,21.69,28.04,-1
13,83.641,20.424,750,748,0.04046,21.901,21.687,28.04,-1
14,83.639,20.424,750,748,0.04097,21.88,21.71,28.04,-1
15,83.64,20.423,750,748,0.02054,21.91,21.711,28.04,-1
16,83.638,20.424,750,748,0.01916,21.88,21.713,28.04,-1
17,83.639,20.423,750,748,0.01634,21.895,21.717,28.04,-1
18,83.64,20.422,750,748,0.01416,21.914,21.687,28.04,-1
19,83.64,20.423,750,748,0.01371,21.903,21.685,28.04,-1
20,83.64,20.423,750,748,0.01326,21.897,21.687,28.04,-1
21,83.64,20.423,750,748,0.01294,21.902,21.684,28.04,-1
22,83.64,20.423,750,748,0.01346,21.907,21.697,28.04,-1
23,83.641,20.423,750,748,0.01351,21.903,21.708,28.04,-1
24,83.641,20.422,750,748,0.0131,21.882,21.681,28.04,-1
25,83.641,20.422,750,748,0.01321,21.911,21.677,28.04,-1
26,83.641,20.424,750,748,0.0132,21.889,21.69,28.04,-1
27,83.641,20.424,750,748,0.01378,21.897,21.698,28.04,-1
28,83.642,20.423,750,748,0.01372,21.887,21.695,28.04,-1
29,83.642,20.422,750,748,0.01357,21.882,21.696,28.04,-1
30,83.642,20.423,750,748,0.01346,21.877,21.718,28.04,-1
31,83.642,20.422,750,748,0.0135,21.9,21.697,28.04,-1
32,83.642,20.422,750,748,0.01317,21.902,21.694,28.04,-1
33,83.642,20.422,750,748,0.0132,21.888,21.709,28.04,-1
34,83.642,20.423,750,748,0.0134,21.878,21.715,28.04,-1
35,83.642,20.423,750,748,0.01374,21.878,21.745,28.04,-1
36,83.642,20.421,750,748,0.01381,21.883,21.718,28.04,-1
37,83.642,20.421,750,748,0.01355,21.907,21.734,28.04,-1
38,83.642,20.422,750,748,0.01349,21.896,21.719,28.04,-1
39,83.642,20.422,750,748,0.01345,21.888,21.715,28.04,-1
40,83.642,20.421,750,748,0.01347,21.924,21.718,28.04,-1
41,83.642,20.422,750,748,0.01333,21.881,21.742,28.04,-1
42,83.642,20.422,750,748,0.01339,21.884,21.734,28.04,-1
43,83.642,20.423,750,748,0.01358,21.88,21.735,28.04,-1
44,83.642,20.422,750,748,0.01343,21.893,21.728,28.04,-1
45,83.642,20.422,750,748,0.01355,21.886,21.742,28.04,-1
46,83.642,20.422,750,748,0.01331,21.892,21.727,28.04,-1
47,83.642,20.422,750,748,0.01364,21.91,21.735,28.04,-1
48,83.642,20.423,750,748,0.01372,21.879,21.733,28.04,-1
49,83.641,20.423,750,748,0.01373,21.881,21.759,28.04,-1
50,83.642,20.423,750,748,0.01396,21.895,21.739,28.04,-1
51,83.642,20.423,750,748,0.01375,21.886,21.737,28.04,-1
52,83.642,20.423,750,748,0.01366,21.888,21.717,28.04,-1
53,83.642,20.423,750,748,0.01367,21.888,21.733,28.04,-1
54,83.642,20.423,750,748,0.01367,21.891,21.719,28.04,-1
55,83.642,20.422,750,748,0.01369,21.926,21.724,28.05,-1
56,83.642,20.421,750,748,0.0137,21.93,21.741,28.05,-1
57,83.642,20.422,750,748,0.01321,21.884,21.723,28.05,-1
58,83.642,20.42,750,748,0.0133,21.92,21.709,28.05,-1
59,83.642,20.421,750,748,0.01361,21.877,21.726,28.05,-1
60,83.642,20.422,750,748,0.01349,21.895,21.713,28.05,-1
61,83.642,20.421,750,748,0.01366,21.896,21.714,28.05,-1
62,83.642,20.421,750,748,0.01373,21.902,21.729,28.05,-1
63,83.643,20.421,750,748,0.01365,21.886,21.718,28.05,-1
64,83.643,20.421,750,748,0.01369,21.905,21.738,28.05,-1
65,83.643,20.422,750,748,0.0134,21.905,21.702,28.05,-1
66,83.643,20.422,750,748,0.01345,21.889,21.695,28.05,-1
67,83.643,20.424,750,748,0.0134,21.905,21.711,28.05,-1
68,83.643,20.422,750,748,0.01364,21.884,21.716,28.05,-1
69,83.643,20.423,750,748,0.01372,21.884,21.717,28.05,-1
70,83.643,20.423,750,748,0.01369,21.899,21.715,28.05,-1
71,83.643,20.423,750,748,0.01358,21.89,21.732,28.05,-1
72,83.643,20.422,750,748,0.01349,21.914,21.702,28.05,-1
73,83.643,20.423,750,748,0.01355,21.914,21.7,28.05,-1
74,83.643,20.422,750,748,0.01351,21.891,21.708,28.05,-1
75,83.643,20.421,750,748,0.01304,21.89,21.701,28.05,-1
76,83.643,20.422,750,748,0.0133,21.88,21.711,28.05,-1
77,83.643,20.423,750,748,0.01346,21.879,21.702,28.05,-1
78,83.643,20.422,750,748,0.01362,21.883,21.71,28.05,-1
79,83.643,20.421,750,748,0.01338,21.89,21.705,28.05,-1
80,83.643,20.422,750,748,0.01365,21.927,21.694,28.05,-1
81,83.643,20.423,750,748,0.01369,21.926,21.702,28.05,-1
82,83.643,20.423,750,748,0.01351,21.883,21.725,28.05,-1
83,83.643,20.424,750,748,0.01371,21.903,21.713,28.05,-1
84,83.642,20.423,750,748,0.01371,21.906,21.7,28.05,-1
85,83.643,20.423,750,748,0.01361,21.884,21.709,28.05,-1
86,83.643,20.423,750,748,0.01347,21.886,21.725,28.05,-1
87,83.643,20.422,750,748,0.01337,21.901,21.698,28.05,-1
88,83.643,20.423,750,748,0.01336,21.882,21.714,28.05,-1
89,83.643,20.422,750,748,0.01365,21.89,21.709,28.05,-1
90,83.643,20.422,750,748,0.01349,21.883,21.719,28.05,-1
91,83.643,20.422,750,748,0.01362,21.909,21.698,28.05,-1
92,83.643,20.423,750,748,0.01374,21.896,21.69,28.05,-1
93,83.643,20.422,750,748,0.01381,21.887,21.717,28.05,-1
94,83.643,20.422,750,748,0.01361,21.921,21.706,28.05,-1
95,83.643,20.422,750,748,0.01357,21.905,21.699,28.05,-1
96,83.643,20.421,750,748,0.01327,21.911,21.703,28.05,-1
97,83.643,20.421,750,748,0.01333,21.891,21.708,28.06,-1
98,83.642,20.421,750,748,0.01345,21.904,21.739,28.06,-1
99,83.643,20.421,750,748,0.01347,21.901,21.709,28.06,-1
100,83.643,20.422,750,748,0.01381,21.89,21.72,28.06,-1
101,83.643,20.422,750,748,0.01394,21.906,21.701,28.06,-1
102,83.643,20.421,750,748,0.0135,21.913,21.703,28.06,-1
103,83.643,20.422,750,748,0.01361,21.886,21.699,28.06,-1
104,83.643,20.421,750,748,0.01372,21.909,21.738,28.06,-1
105,83.643,20.421,750,748,0.01382,21.897,21.71,28.06,-1
106,83.643,20.421,750,748,0.01378,21.888,21.721,28.06,-1
107,83.643,20.421,750,748,0.01377,21.892,21.721,28.06,-1
108,83.643,20.421,750,748,0.01369,21.89,21.738,28.06,-1
109,83.642,20.422,750,748,0.01353,21.887,21.727,28.06,-1
110,83.642,20.422,750,748,0.01375,21.895,21.735,28.06,-1
111,83.642,20.422,750,748,0.01368,21.892,21.736,28.06,-1
112,83.642,20.421,750,748,0.01341,21.899,21.741,28.06,-1
113,83.642,20.42,750,748,0.01351,21.91,21.726,28.06,-1
114,83.642,20.419,750,748,0.0138,21.888,21.728,28.06,-1
115,83.642,20.42,750,748,0.01405,21.885,21.73,28.06,-1
116,83.643,20.42,750,748,0.01388,21.909,21.728,28.06,-1
117,83.643,20.42,750,748,0.01382,21.899,21.741,28.06,-1
118,83.643,20.421,750,748,0.01355,21.905,21.758,28.06,-1
119,83.643,20.421,750,748,0.01366,21.903,21.739,28.06,-1
120,83.643,20.421,750,748,0.01394,21.915,21.743,28.06,-1
121,83.643,20.421,750,748,0.01361,21.907,21.743,28.06,-1
122,83.642,20.421,750,748,0.01388,21.902,21.746,28.06,-1
123,83.642,20.421,750,748,0.01356,21.901,21.722,28.06,-1
124,83.642,20.421,750,748,0.01364,21.886,21.733,28.06,-1
125,83.642,20.42,750,748,0.01367,21.912,21.716,28.06,-1
126,83.642,20.422,750,748,0.01366,21.897,21.705,28.06,-1
127,83.642,20.42,750,748,0.01368,21.907,21.709,28.06,-1
128,83.643,20.42,750,748,0.01364,21.895,21.716,28.06,-1
129,83.643,20.421,750,748,0.01372,21.902,21.727,28.06,-1
130,83.643,20.421,750,748,0.01356,21.91,21.706,28.06,-1
131,83.643,20.419,750,748,0.01382,21.885,21.713,28.06,-1
132,83.643,20.42,750,748,0.01382,21.911,21.742,28.06,-1
133,83.643,20.42,750,748,0.01398,21.9,21.707,28.06,-1
134,83.643,20.421,750,748,0.01391,21.894,21.71,28.06,-1
135,83.643,20.421,750,748,0.01388,21.923,21.735,28.06,-1
136,83.643,20.42,750,748,0.01392,21.876,21.74,28.06,-1
137,83.643,20.42,750,748,0.01399,21.9,21.704,28.06,-1
138,83.643,20.42,750,748,0.01383,21.89,21.73,28.06,-1
139,83.643,20.419,750,748,0.01365,21.879,21.744,28.06,-1
140,83.643,20.42,750,748,0.0138,21.89,21.724,28.06,-1
141,83.643,20.419,750,748,0.01383,21.901,21.722,28.07,-1
142,83.643,20.419,750,748,0.01362,21.919,21.718,28.07,-1
143,83.643,20.42,750,748,0.01387,21.893,21.716,28.07,-1
144,83.643,20.42,750,748,0.01378,21.898,21.732,28.07,-1
145,83.643,20.42,750,748,0.01388,21.884,21.716,28.07,-1
146,83.644,20.42,750,748,0.01357,21.904,21.732,28.07,-1
147,83.644,20.42,750,748,0.0135,21.892,21.717,28.07,-1
148,83.644,20.42,750,748,0.01347,21.899,21.709,28.07,-1
149,83.644,20.419,750,748,0.01372,21.926,21.717,28.07,-1
150,83.644,20.42,750,748,0.01359,21.904,21.737,28.07,-1
151,83.643,20.42,750,748,0.01384,21.898,21.713,28.07,-1
152,83.643,20.42,750,748,0.01364,21.903,21.72,28.07,-1
153,83.643,20.419,750,748,0.01388,21.901,21.735,28.07,-1
154,83.643,20.421,750,748,0.01361,21.886,21.719,28.07,-1
155,83.643,20.421,750,748,0.01403,21.877,21.73,28.07,-1
156,83.643,20.421,750,748,0.01411,21.893,21.72,28.07,-1
157,83.643,20.42,750,748,0.0137,21.903,21.724,28.07,-1
158,83.643,20.42,750,748,0.01346,21.884,21.732,28.07,-1
159,83.643,20.42,750,748,0.01356,21.886,21.708,28.07,-1
160,83.644,20.419,750,748,0.01356,21.911,21.731,28.07,-1
161,83.643,20.419,750,748,0.01378,21.885,21.749,28.07,-1
162,83.643,20.419,750,748,0.01379,21.888,21.715,28.07,-1
163,83.643,20.419,750,748,0.01375,21.889,21.725,28.07,-1
164,83.643,20.419,750,748,0.01389,21.88,21.725,28.07,-1
165,83.644,20.421,750,748,0.01398,21.907,21.709,28.07,-1
166,83.643,20.42,750,748,0.01393,21.892,21.743,28.07,-1
167,83.643,20.42,750,748,0.01377,21.907,21.739,28.07,-1
168,83.643,20.42,750,748,0.01378,21.882,21.732,28.07,-1
169,83.643,20.42,750,748,0.01404,21.901,21.743,28.07,-1
170,83.644,20.42,750,748,0.01408,21.905,21.73,28.07,-1
171,83.644,20.42,750,748,0.01415,21.875,21.73,28.07,-1
172,83.644,20.419,750,748,0.01436,21.885,21.733,28.07,-1
173,83.644,20.418,750,748,0.01431,21.912,21.727,28.07,-1
174,83.643,20.419,750,748,0.01398,21.902,21.75,28.07,-1
175,83.644,20.417,750,748,0.01386,21.877,21.734,28.07,-1
176,83.644,20.418,750,748,0.0141,21.877,21.727,28.07,-1
177,83.644,20.418,750,748,0.01412,21.894,21.731,28.07,-1
178,83.644,20.418,750,748,0.01415,21.903,21.739,28.07,-1
179,83.644,20.418,750,748,0.01399,21.888,21.726,28.07,-1
180,83.644,20.42,750,748,0.01394,21.899,21.744,28.07,-1
181,83.643,20.42,750,748,0.014,21.901,21.738,28.07,-1
182,83.643,20.419,750,748,0.01389,21.898,21.738,28.07,-1
183,83.643,20.42,750,748,0.01376,21.899,21.751,28.07,-1
184,83.644,20.419,750,748,0.01349,21.899,21.75,28.07,-1
185,83.643,20.418,750,748,0.01398,21.887,21.75,28.08,-1
186,83.644,20.42,750,748,0.01283,21.907,21.739,28.08,-1
187,83.644,20.419,750,748,0.01239,21.897,21.759,28.08,-1
188,83.644,20.419,750,748,0.01243,21.913,21.747,28.08,-1
189,83.644,20.419,750,748,0.01266,21.885,21.746,28.08,-1
190,83.644,20.419,750,748,0.01283,21.88,21.748,28.08,-1
191,83.644,20.421,750,748,0.01311,21.893,21.734,28.08,-1
192,83.644,20.42,750,748,0.01285,21.874,21.739,28.08,-1
193,83.644,20.421,750,748,0.01292,21.905,21.757,28.08,-1
194,83.644,20.42,750,748,0.01303,21.909,21.737,28.08,-1
195,83.644,20.42,750,748,0.01307,21.901,21.758,28.08,-1
196,83.644,20.42,750,748,0.01308,21.894,21.754,28.08,-1
197,83.644,20.42,750,748,0.01278,21.888,21.748,28.08,-1
198,83.643,20.42,750,748,0.01313,21.899,21.747,28.08,-1
199,83.643,20.42,750,748,0.01281,21.896,21.729,28.08,-1
200,83.643,20.419,750,748,0.01291,21.876,21.755,28.08,-1
201,83.643,20.42,750,748,0.01287,21.884,21.766,28.08,-1
202,83.643,20.42,750,748,0.0131,21.896,21.734,28.08,-1
203,83.643,20.421,750,748,0.01268,21.911,21.76,28.08,-1
204,83.643,20.498,750,746,0.01273,21.901,21.749,28.08,-1
205,83.643,20.485,750,746,0.01656,21.897,21.737,28.08,115
206,83.643,20.441,750,747,0.07304,21.898,21.758,28.08,-1
207,83.643,20.405,750,747,0.1354,21.896,21.755,28.08,102
208,83.643,20.366,750,748,0.1508,21.902,21.768,28.08,-1
209,83.644,20.327,750,748,0.1521,21.907,21.771,28.08,-1
210,83.644,20.295,750,749,0.1486,21.888,21.763,28.08,-1
211,83.644,20.274,750,749,0.1457,21.886,21.773,28.08,-1
212,83.644,20.259,750,749,0.1431,21.879,21.761,28.08,-1
213,83.644,20.249,750,749,0.139,21.916,21.765,28.08,-1
214,83.644,20.241,750,749,0.1318,21.894,21.743,28.08,-1
215,83.644,20.238,750,749,0.1272,21.888,21.755,28.08,-1
216,83.644,20.238,750,749,0.1229,21.9,21.755,28.08,-1
217,83.644,20.24,750,749,0.1169,21.914,21.728,28.08,-1
218,83.643,20.245,750,749,0.1142,21.898,21.728,28.08,-1
219,83.644,20.249,750,749,0.1109,21.892,21.75,28.08,-1
220,83.644,20.253,750,749,0.1078,21.907,21.761,28.08,-1
