Seconds,Barometric_Pressure,O2,FlowSet,Flow_Rate,CO2,Temp__Aux1_,Temp__Aux2_,FoxBoxTemp,Marker
0,84.596,20.233,750,751,-0.00264,20.37,20.138,26.37,-1
1,84.596,20.233,750,751,-0.00264,20.37,20.138,26.37,-1
2,84.596,20.232,750,751,-0.00235,20.387,20.133,26.38,-1
3,84.597,20.233,750,751,-0.00205,20.395,20.149,26.38,-1
4,84.597,20.233,750,751,-0.00214,20.394,20.138,26.38,-1
5,84.597,20.233,750,751,-0.00191,20.396,20.182,26.38,-1
6,84.596,20.233,750,751,-0.00194,20.39,20.171,26.38,-1
7,84.597,20.232,750,751,-0.00209,20.393,20.179,26.38,-1
8,84.597,20.233,750,751,-0.00217,20.386,20.205,26.38,-1
9,84.597,20.234,750,751,-0.00209,20.379,20.173,26.38,-1
10,84.597,20.232,750,751,-0.00194,20.401,20.19,26.38,-1
11,84.597,20.233,750,751,-0.00186,20.398,20.189,26.38,-1
12,84.597,20.232,750,751,-0.00199,20.38,20.183,26.38,-1
13,84.597,20.233,750,751,-0.00218,20.4,20.171,26.38,-1
14,84.596,20.232,750,751,-0.00217,20.393,20.185,26.38,-1
15,84.596,20.233,750,751,-0.00216,20.411,20.177,26.38,-1
16,84.596,20.232,750,751,-0.00222,20.385,20.17,26.38,-1
17,84.596,20.232,750,751,-0.00197,20.398,20.165,26.38,-1
18,84.596,20.233,750,751,-0.00178,20.383,20.186,26.38,-1
19,84.596,20.232,750,751,-0.002,20.393,20.185,26.38,-1
20,84.596,20.232,750,751,-0.00204,20.381,20.184,26.38,-1
21,84.596,20.233,750,751,-0.00208,20.392,20.17,26.38,-1
22,84.596,20.233,750,751,-0.00194,20.381,20.162,26.38,-1
23,84.596,20.233,750,751,-0.00193,20.381,20.161,26.38,-1
24,84.596,20.233,750,751,-0.00184,20.371,20.186,26.38,-1
25,84.596,20.233,750,751,-0.00222,20.375,20.18,26.38,-1
26,84.597,20.233,750,751,-0.00209,20.4,20.152,26.38,-1
27,84.596,20.234,750,751,-0.00173,20.382,20.182,26.38,-1
28,84.596,20.232,750,751,-0.00215,20.372,20.169,26.38,-1
29,84.597,20.232,750,750,-0.00197,20.394,20.144,26.38,-1
30,84.597,20.23,750,750,-0.00196,20.373,20.159,26.38,-1
31,84.597,20.229,750,750,-0.00221,20.377,20.17,26.38,-1
32,84.597,20.226,750,750,-0.00187,20.384,20.178,26.38,-1
33,84.597,20.222,750,750,-0.00185,20.362,20.163,26.38,-1
34,84.597,20.221,750,750,-0.00219,20.396,20.169,26.38,-1
35,84.597,20.221,750,750,-0.00216,20.37,20.15,26.38,-1
36,84.597,20.221,750,750,-0.00218,20.368,20.17,26.38,-1
37,84.597,20.221,750,750,-0.00242,20.377,20.169,26.38,-1
38,84.597,20.221,750,750,-0.00243,20.365,20.157,26.38,-1
39,84.597,20.221,750,750,-0.00192,20.366,20.187,26.38,-1
40,84.597,20.221,750,750,-0.00211,20.383,20.168,26.38,-1
41,84.597,20.222,750,750,-0.002,20.389,20.169,26.39,-1
42,84.598,20.222,750,750,-0.00174,20.377,20.155,26.39,-1
43,84.598,20.222,750,750,-0.00218,20.381,20.163,26.39,-1
44,84.598,20.22,750,750,-0.00199,20.381,20.145,26.39,-1
45,84.597,20.22,750,750,-0.00217,20.358,20.16,26.39,-1
46,84.597,20.221,750,750,-0.00204,20.363,20.143,26.39,-1
47,84.597,20.221,750,750,-0.0017,20.375,20.161,26.39,-1
48,84.597,20.221,750,750,-0.00255,20.373,20.161,26.39,-1
49,84.597,20.221,750,750,-0.00178,20.369,20.161,26.39,-1
50,84.597,20.221,750,750,-0.00316,20.411,20.157,26.39,-1
51,84.597,20.221,750,750,-0.00172,20.383,20.156,26.39,-1
52,84.597,20.221,750,750,-0.00329,20.388,20.182,26.39,-1
53,84.596,20.219,750,750,-0.00176,20.386,20.17,26.39,-1
54,84.596,20.22,750,750,-0.00329,20.376,20.165,26.39,-1
55,84.596,20.22,750,750,-0.0022,20.366,20.166,26.39,-1
56,84.596,20.221,750,750,-0.00229,20.374,20.164,26.39,-1
57,84.596,20.221,750,750,-0.00222,20.367,20.146,26.39,-1
58,84.596,20.221,750,750,-0.00216,20.369,20.163,26.39,-1
59,84.596,20.221,750,750,-0.00215,20.393,20.16,26.39,-1
60,84.596,20.22,750,750,-0.00189,20.372,20.164,26.39,-1
61,84.597,20.22,750,750,-0.0018,20.374,20.149,26.39,-1
62,84.597,20.221,750,750,-0.00132,20.395,20.144,26.39,-1
63,84.597,20.22,750,750,-0.00301,20.369,20.174,26.39,-1
64,84.597,20.22,750,750,-0.00328,20.368,20.151,26.39,-1
65,84.597,20.22,750,750,-0.00256,20.397,20.157,26.39,-1
66,84.597,20.221,750,750,-0.00221,20.399,20.16,26.39,-1
67,84.597,20.22,750,750,-0.00679,20.355,20.153,26.39,-1
68,84.597,20.219,750,750,-0.00303,20.383,20.146,26.39,-1
69,84.597,20.219,750,750,-0.00295,20.372,20.146,26.39,-1
70,84.597,20.219,750,750,0.0023,20.37,20.177,26.39,-1
71,84.597,20.219,750,750,-0.00039,20.352,20.169,26.39,-1
72,84.597,20.219,750,750,-0.00194,20.373,20.177,26.39,-1
73,84.597,20.22,750,750,-0.00218,20.374,20.134,26.39,-1
74,84.597,20.22,750,750,-0.00159,20.385,20.15,26.39,-1
75,84.597,20.219,750,750,-0.00209,20.371,20.146,26.39,-1
76,84.596,20.219,750,750,-0.00209,20.36,20.146,26.39,-1
77,84.597,20.219,750,750,0.00187,20.364,20.149,26.39,-1
78,84.596,20.219,750,750,-0.00061,20.358,20.171,26.39,-1
79,84.596,20.219,750,750,-0.00176,20.381,20.151,26.39,-1
80,84.596,20.22,750,750,-0.00177,20.37,20.138,26.4,-1
81,84.596,20.196,750,743,-0.00201,20.358,20.147,26.4,115
82,84.596,20.214,750,739,0.03334,20.394,20.158,26.4,-1
83,84.597,20.195,750,742,0.3456,20.368,20.151,26.4,102
84,84.597,20.101,750,745,0.487,20.388,20.152,26.4,-1
85,84.597,19.976,750,748,0.5141,20.391,20.159,26.4,-1
86,84.597,19.858,750,750,0.5054,20.383,20.146,26.4,-1
87,84.597,19.764,750,752,0.4875,20.357,20.165,26.4,-1
88,84.597,19.698,750,752,0.4638,20.363,20.159,26.4,-1
89,84.596,19.653,750,752,0.4437,20.39,20.153,26.4,-1
90,84.596,19.627,750,753,0.4206,20.364,20.149,26.4,-1
91,84.596,19.615,750,753,0.401,20.37,20.153,26.4,-1
92,84.596,19.614,750,753,0.3761,20.369,20.149,26.4,-1
93,84.596,19.622,750,753,0.3568,20.358,20.167,26.4,-1
94,84.596,19.632,750,753,0.34,20.361,20.156,26.4,-1
95,84.596,19.651,750,753,0.3241,20.346,20.163,26.4,-1
96,84.596,19.669,750,753,0.3078,20.355,20.177,26.4,-1
97,84.596,19.689,750,753,0.2913,20.371,20.199,26.4,-1
98,84.595,19.71,750,752,0.2753,20.402,20.186,26.4,-1
99,84.595,19.73,750,752,0.2621,20.347,20.214,26.4,-1
100,84.595,19.753,750,752,0.2493,20.375,20.197,26.4,-1
101,84.595,19.775,750,752,0.2378,20.369,20.214,26.4,-1
102,84.595,19.797,750,752,0.2295,20.361,20.213,26.4,-1
103,84.595,19.817,750,752,0.2199,20.374,20.211,26.4,-1
104,84.596,19.836,750,752,0.2091,20.366,20.187,26.4,-1
105,84.597,19.852,750,752,0.1969,20.35,20.192,26.4,114
106,84.597,19.866,750,752,0.1891,20.39,20.188,26.4,102
107,84.597,19.884,750,752,0.1846,20.375,20.179,26.4,-1
108,84.597,19.901,750,752,0.1712,20.382,20.198,26.4,-1
109,84.596,19.916,750,752,0.1611,20.367,20.209,26.4,-1
110,84.596,19.932,750,752,0.1556,20.345,20.191,26.4,-1
111,84.597,19.947,750,752,0.1467,20.38,20.205,26.4,-1
112,84.597,19.96,750,752,0.1392,20.353,20.193,26.4,-1
113,84.597,19.972,750,752,0.1339,20.372,20.224,26.4,-1
114,84.598,19.986,750,752,0.1304,20.355,20.217,26.4,-1
115,84.599,19.999,750,752,0.1244,20.387,20.199,26.4,-1
116,84.599,20.011,750,752,0.1197,20.36,20.209,26.4,-1
117,84.599,20.021,750,752,0.1127,20.354,20.207,26.4,-1
118,84.599,20.032,750,752,0.1058,20.367,20.203,26.4,-1
119,84.598,20.043,750,752,0.1008,20.355,20.217,26.4,-1
120,84.597,20.053,750,752,0.0969,20.383,20.195,26.4,-1
121,84.597,20.068,750,752,0.09207,20.342,20.234,26.4,-1
122,84.597,20.078,750,752,0.08953,20.357,20.219,26.41,-1
123,84.596,20.086,750,752,0.08462,20.367,20.216,26.41,-1
124,84.596,20.092,750,752,0.07995,20.363,20.23,26.41,-1
125,84.597,20.102,750,752,0.07645,20.384,20.217,26.41,-1
126,84.598,20.11,750,752,0.0723,20.36,20.215,26.41,-1
127,84.598,20.116,750,752,0.06987,20.374,20.229,26.41,-1
128,84.598,20.121,750,752,0.06818,20.349,20.206,26.41,-1
129,84.597,20.127,750,752,0.06495,20.342,20.209,26.41,102
130,84.598,20.133,750,752,0.06256,20.348,20.208,26.41,-1
131,84.597,20.138,750,752,0.0603,20.355,20.225,26.41,-1
132,84.597,20.142,750,752,0.05807,20.345,20.233,26.41,114
133,84.597,20.145,750,752,0.0561,20.356,20.244,26.41,102
134,84.596,20.148,750,752,0.05489,20.349,20.249,26.41,-1
135,84.596,20.152,750,752,0.05357,20.352,20.254,26.41,-1
136,84.596,20.155,750,752,0.05074,20.35,20.249,26.41,-1
137,84.596,20.159,750,752,0.04929,20.352,20.239,26.41,-1
138,84.597,20.163,750,751,0.04754,20.369,20.254,26.41,-1
139,84.596,20.165,750,751,0.04498,20.361,20.244,26.41,-1
140,84.596,20.167,750,751,0.04408,20.354,20.245,26.41,-1
141,84.596,20.171,750,751,0.04259,20.343,20.243,26.41,-1
142,84.595,20.173,750,751,0.04156,20.356,20.24,26.41,-1
143,84.596,20.176,750,751,0.04052,20.365,20.25,26.41,-1
144,84.596,20.178,750,751,0.03995,20.369,20.22,26.41,-1
145,84.596,20.181,750,751,0.03917,20.357,20.223,26.41,-1
146,84.597,20.183,750,751,0.03825,20.338,20.226,26.41,-1
147,84.598,20.186,750,751,0.03665,20.378,20.225,26.41,-1
148,84.598,20.187,750,751,0.03592,20.366,20.222,26.41,-1
149,84.597,20.187,750,751,0.03483,20.383,20.204,26.41,-1
150,84.598,20.19,750,751,0.03366,20.39,20.219,26.41,-1
151,84.599,20.193,750,751,0.03332,20.35,20.207,26.41,-1
152,84.599,20.194,750,751,0.0332,20.383,20.229,26.41,-1
153,84.6,20.196,750,751,0.0333,20.389,20.209,26.41,-1
154,84.6,20.197,750,751,0.03282,20.349,20.208,26.41,-1
155,84.6,20.198,750,751,0.03156,20.352,20.192,26.41,-1
156,84.599,20.199,750,751,0.02985,20.362,20.223,26.41,-1
157,84.6,20.2,750,751,0.029,20.373,20.202,26.41,-1
158,84.6,20.201,750,751,0.02914,20.345,20.221,26.41,-1
159,84.599,20.202,750,751,0.02879,20.344,20.213,26.41,-1
160,84.599,20.202,750,751,0.02933,20.353,20.198,26.41,-1
161,84.6,20.204,750,751,0.03002,20.353,20.221,26.42,-1
162,84.6,20.205,750,751,0.02853,20.351,20.203,26.42,-1
163,84.599,20.204,750,751,0.02719,20.353,20.225,26.42,-1
164,84.599,20.205,750,751,0.02743,20.348,20.241,26.42,-1
165,84.599,20.206,750,751,0.02727,20.357,20.231,26.42,-1
166,84.599,20.207,750,751,0.02676,20.354,20.234,26.42,-1
167,84.6,20.208,750,751,0.02649,20.357,20.219,26.42,-1
168,84.6,20.209,750,751,0.02593,20.366,20.226,26.42,-1
169,84.6,20.209,750,751,0.02586,20.332,20.229,26.42,-1
170,84.6,20.209,750,751,0.02549,20.359,20.231,26.42,-1
171,84.6,20.21,750,751,0.02512,20.331,20.224,26.42,-1
172,84.6,20.21,750,751,0.02476,20.341,20.223,26.42,-1
173,84.6,20.211,750,751,0.02405,20.367,20.211,26.42,-1
174,84.6,20.212,750,751,0.02363,20.38,20.245,26.42,114
175,84.601,20.213,750,751,0.02332,20.388,20.25,26.42,-1
176,84.6,20.212,750,751,0.02393,20.336,20.232,26.42,102
177,84.6,20.211,750,751,0.02257,20.364,20.242,26.42,-1
178,84.6,20.212,750,751,0.02225,20.369,20.253,26.42,-1
179,84.599,20.21,750,751,0.02234,20.339,20.254,26.42,-1
180,84.599,20.211,750,751,0.02253,20.383,20.245,26.42,-1
181,84.599,20.212,750,751,0.0226,20.351,20.279,26.42,-1
182,84.598,20.213,750,752,0.02201,20.386,20.265,26.42,-1
183,84.597,20.213,750,751,0.02251,20.338,20.265,26.42,-1
184,84.597,20.213,750,751,0.02228,20.347,20.277,26.42,-1
185,84.596,20.213,750,751,0.02228,20.339,20.254,26.42,-1
186,84.596,20.214,750,751,0.02184,20.343,20.249,26.42,-1
187,84.596,20.214,750,751,0.02177,20.356,20.242,26.42,-1
188,84.595,20.214,750,751,0.02135,20.345,20.242,26.42,-1
189,84.595,20.214,750,751,0.021,20.336,20.26,26.42,-1
190,84.595,20.215,750,751,0.02047,20.347,20.248,26.42,-1
191,84.595,20.217,750,751,0.02147,20.347,20.24,26.42,-1
192,84.594,20.217,750,751,0.02139,20.351,20.242,26.42,114
193,84.594,20.216,750,751,0.02087,20.346,20.265,26.42,-1
194,84.594,20.217,750,751,0.02,20.359,20.247,26.42,-1
195,84.595,20.217,750,751,0.02037,20.336,20.255,26.42,114
196,84.595,20.216,750,751,0.01959,20.339,20.263,26.42,102
197,84.595,20.217,750,751,0.0198,20.33,20.262,26.42,-1
198,84.595,20.216,750,751,0.01908,20.348,20.24,26.42,-1
199,84.595,20.217,750,751,0.01923,20.345,20.256,26.42,-1
200,84.595,20.218,750,751,0.0194,20.367,20.283,26.42,-1
201,84.594,20.218,750,751,0.01823,20.342,20.243,26.42,-1
202,84.594,20.218,750,751,0.01946,20.356,20.257,26.43,-1
203,84.594,20.218,750,751,0.0198,20.342,20.256,26.43,-1
204,84.594,20.219,750,751,0.01966,20.347,20.251,26.43,-1
205,84.594,20.219,750,751,0.01993,20.344,20.239,26.43,-1
206,84.594,20.218,750,751,0.01948,20.353,20.25,26.43,-1
207,84.594,20.218,750,751,0.01893,20.341,20.241,26.43,114
208,84.594,20.219,750,751,0.01909,20.375,20.227,26.43,-1
209,84.594,20.219,750,751,0.01894,20.37,20.245,26.43,102
210,84.594,20.218,750,751,0.01891,20.35,20.257,26.43,-1
211,84.593,20.218,750,751,0.01894,20.334,20.232,26.43,-1
212,84.593,20.219,750,751,0.01895,20.351,20.221,26.43,-1
213,84.593,20.219,750,751,0.01885,20.361,20.231,26.43,-1
214,84.593,20.218,750,751,0.01904,20.337,20.231,26.43,-1
215,84.593,20.219,750,751,0.01838,20.37,20.24,26.43,-1
216,84.593,20.22,750,751,0.01833,20.335,20.214,26.43,-1
217,84.593,20.22,750,751,0.01848,20.358,20.213,26.43,114
218,84.593,20.22,750,751,0.01914,20.338,20.224,26.43,-1
219,84.594,20.219,750,751,0.01917,20.351,20.218,26.43,-1
220,84.594,20.22,750,751,0.01873,20.365,20.216,26.43,102
221,84.594,20.219,750,751,0.01896,20.364,20.2,26.43,-1
222,84.594,20.22,750,751,0.01908,20.36,20.202,26.43,114
223,84.594,20.22,750,751,0.01897,20.352,20.198,26.43,-1
224,84.594,20.219,750,751,0.01887,20.381,20.198,26.43,-1
225,84.594,20.22,750,751,0.01847,20.336,20.192,26.43,-1
226,84.594,20.219,750,751,0.01829,20.337,20.196,26.43,102
227,84.594,20.22,750,751,0.01809,20.342,20.206,26.43,-1
228,84.594,20.22,750,751,0.01781,20.346,20.216,26.43,-1
229,84.595,20.22,750,751,0.01821,20.366,20.189,26.43,-1
230,84.595,20.22,750,751,0.01834,20.373,20.191,26.43,-1
231,84.595,20.219,750,751,0.01879,20.347,20.18,26.43,-1
232,84.596,20.218,750,751,0.01803,20.364,20.2,26.43,-1
233,84.596,20.217,750,751,0.01738,20.348,20.192,26.43,-1
234,84.595,20.217,750,751,0.01684,20.367,20.174,26.43,-1
235,84.595,20.219,750,751,0.01644,20.363,20.175,26.43,-1
236,84.595,20.219,750,751,0.01685,20.337,20.182,26.43,-1
237,84.595,20.219,750,751,0.01639,20.345,20.173,26.43,-1
238,84.595,20.218,750,751,0.01634,20.345,20.168,26.43,-1
239,84.596,20.219,750,751,0.01645,20.325,20.18,26.43,-1
240,84.596,20.22,750,751,0.01615,20.352,20.179,26.43,-1
241,84.595,20.22,750,751,0.01602,20.359,20.172,26.43,-1
242,84.595,20.221,750,751,0.01596,20.344,20.176,26.43,-1
243,84.595,20.222,750,751,0.01603,20.362,20.189,26.43,114
244,84.595,20.223,750,751,0.01592,20.339,20.2,26.44,-1
245,84.595,20.223,750,751,0.01687,20.349,20.183,26.44,102
246,84.595,20.223,750,751,0.01676,20.338,20.169,26.44,-1
247,84.595,20.222,750,751,0.01713,20.353,20.202,26.44,-1
248,84.595,20.222,750,751,0.01719,20.335,20.204,26.44,-1
249,84.595,20.221,750,751,0.0173,20.346,20.19,26.44,114
250,84.595,20.221,750,751,0.01759,20.343,20.197,26.44,102
251,84.595,20.222,750,751,0.01787,20.331,20.201,26.44,-1
252,84.595,20.222,750,751,0.01756,20.336,20.215,26.44,-1
253,84.594,20.22,750,751,0.01783,20.333,20.188,26.44,114
254,84.594,20.22,750,751,0.01802,20.347,20.187,26.44,-1
255,84.594,20.22,750,751,0.01809,20.33,20.172,26.44,-1
256,84.594,20.221,750,751,0.01786,20.334,20.175,26.44,102
257,84.594,20.22,750,751,0.01777,20.331,20.195,26.44,-1
258,84.594,20.22,750,751,0.01755,20.335,20.195,26.44,-1
259,84.594,20.221,750,751,0.01818,20.364,20.184,26.44,-1
260,84.594,20.22,750,751,0.01826,20.33,20.181,26.44,-1
261,84.594,20.221,750,751,0.01863,20.331,20.199,26.44,-1
262,84.594,20.219,750,751,0.02268,20.335,20.191,26.44,-1
263,84.593,20.219,750,751,0.01317,20.346,20.194,26.44,-1
264,84.593,20.219,750,751,0.01645,20.357,20.173,26.44,-1
265,84.593,20.219,750,751,0.01777,20.367,20.194,26.44,-1
266,84.593,20.219,750,751,0.01775,20.335,20.188,26.44,-1
267,84.593,20.219,750,751,0.02441,20.34,20.182,26.44,-1
268,84.593,20.22,750,751,0.02049,20.323,20.191,26.44,-1
269,84.593,20.22,750,751,0.01952,20.336,20.198,26.44,-1
270,84.593,20.219,750,751,0.0181,20.336,20.169,26.44,-1
271,84.593,20.219,750,751,0.01831,20.321,20.189,26.44,-1
272,84.593,20.219,750,751,0.01795,20.334,20.172,26.44,-1
273,84.593,20.22,750,751,0.01865,20.337,20.168,26.44,-1
274,84.593,20.219,750,751,0.0185,20.325,20.203,26.44,-1
275,84.593,20.219,750,751,0.01852,20.352,20.184,26.44,-1
276,84.592,20.219,750,751,0.01867,20.328,20.174,26.44,-1
277,84.592,20.22,750,751,0.01855,20.351,20.165,26.44,-1
278,84.592,20.219,750,751,0.01726,20.332,20.164,26.44,114
279,84.592,20.219,750,751,0.01746,20.321,20.201,26.44,102
280,84.592,20.22,750,751,0.01798,20.341,20.179,26.44,-1
281,84.592,20.219,750,751,0.01843,20.345,20.178,26.44,-1
282,84.593,20.22,750,751,0.01837,20.359,20.185,26.44,-1
283,84.593,20.219,750,751,0.01828,20.364,20.162,26.44,-1
284,84.593,20.218,750,751,0.01858,20.317,20.163,26.44,-1
285,84.594,20.219,750,751,0.01811,20.323,20.201,26.44,-1
286,84.593,20.22,750,751,0.01799,20.337,20.157,26.44,-1
287,84.593,20.219,750,751,0.0181,20.372,20.155,26.44,-1
288,84.593,20.22,750,751,0.01828,20.327,20.176,26.45,-1
289,84.593,20.22,750,751,0.0186,20.353,20.183,26.45,-1
290,84.593,20.22,750,751,0.01851,20.349,20.169,26.45,-1
291,84.593,20.219,750,751,0.01816,20.353,20.179,26.45,-1
292,84.593,20.219,750,751,0.01822,20.353,20.183,26.45,-1
293,84.593,20.218,750,751,0.01822,20.338,20.172,26.45,-1
294,84.592,20.219,750,751,0.01803,20.338,20.198,26.45,-1
295,84.593,20.219,750,751,0.01736,20.332,20.206,26.45,-1
296,84.593,20.219,750,751,0.01744,20.332,20.165,26.45,-1
297,84.593,20.219,750,751,0.01731,20.346,20.189,26.45,-1
298,84.593,20.218,750,751,0.01724,20.336,20.175,26.45,-1
299,84.593,20.22,750,751,0.01633,20.354,20.177,26.45,-1
300,84.593,20.221,750,751,0.01652,20.334,20.162,26.45,114
301,84.593,20.22,750,751,0.01693,20.343,20.173,26.45,-1
302,84.593,20.22,750,751,0.01543,20.344,20.191,26.45,102
303,84.592,20.22,750,751,0.01716,20.353,20.184,26.45,-1
304,84.592,20.221,750,751,0.01676,20.339,20.166,26.45,-1
305,84.592,20.22,750,751,0.01659,20.366,20.168,26.45,-1
306,84.592,20.221,750,751,0.01712,20.33,20.204,26.45,-1
307,84.592,20.221,750,751,0.01657,20.345,20.204,26.45,114
308,84.592,20.221,750,751,0.01683,20.341,20.181,26.45,-1
309,84.592,20.221,750,751,0.01712,20.337,20.193,26.45,102
310,84.592,20.221,750,751,0.01683,20.353,20.198,26.45,-1
311,84.592,20.221,750,751,0.0171,20.336,20.185,26.45,-1
312,84.592,20.22,750,751,0.0168,20.355,20.185,26.45,-1
313,84.592,20.22,750,751,0.01611,20.372,20.174,26.45,114
314,84.592,20.22,750,751,0.01698,20.339,20.176,26.45,-1
315,84.592,20.221,750,751,0.0173,20.34,20.186,26.45,-1
316,84.592,20.22,750,751,0.01757,20.337,20.186,26.45,102
317,84.592,20.22,750,751,0.01733,20.334,20.169,26.45,-1
318,84.592,20.22,750,751,0.01684,20.35,20.168,26.45,-1
319,84.592,20.221,750,751,0.01735,20.335,20.175,26.45,-1
320,84.592,20.221,750,751,0.01726,20.34,20.184,26.45,-1
321,84.593,20.22,750,751,0.01694,20.318,20.175,26.45,-1
322,84.593,20.22,750,751,0.01669,20.336,20.159,26.45,-1
323,84.593,20.22,750,751,0.01675,20.349,20.178,26.45,-1
324,84.593,20.22,750,751,0.01653,20.329,20.187,26.45,-1
325,84.593,20.221,750,751,0.01689,20.323,20.182,26.45,-1
326,84.593,20.22,750,751,0.01724,20.332,20.175,26.45,-1
327,84.592,20.22,750,751,0.01753,20.327,20.168,26.45,-1
328,84.592,20.22,750,751,0.01735,20.327,20.155,26.45,-1
329,84.592,20.221,750,751,0.01774,20.339,20.156,26.45,-1
330,84.592,20.222,750,751,0.01762,20.326,20.172,26.45,-1
331,84.592,20.221,750,751,0.01762,20.348,20.166,26.46,114
332,84.592,20.22,750,751,0.01788,20.334,20.159,26.46,-1
333,84.592,20.22,750,751,0.01786,20.359,20.182,26.46,102
334,84.592,20.221,750,751,0.01751,20.36,20.188,26.46,-1
335,84.592,20.219,750,751,0.01757,20.321,20.156,26.46,-1
336,84.592,20.22,750,751,0.01697,20.315,20.185,26.46,-1
337,84.592,20.22,750,751,0.01712,20.322,20.169,26.46,-1
338,84.592,20.22,750,751,0.01783,20.335,20.157,26.46,-1
339,84.592,20.22,750,751,0.01762,20.326,20.178,26.46,-1
340,84.592,20.22,750,751,0.01806,20.348,20.169,26.46,-1
341,84.592,20.22,750,751,0.01819,20.32,20.172,26.46,-1
342,84.592,20.22,750,751,0.01814,20.324,20.156,26.46,-1
343,84.591,20.22,750,751,0.01781,20.32,20.147,26.46,-1
344,84.591,20.219,750,751,0.01775,20.317,20.178,26.46,-1
345,84.591,20.218,750,751,0.01807,20.331,20.139,26.46,-1
346,84.591,20.22,750,751,0.01847,20.333,20.16,26.46,-1
347,84.591,20.22,750,751,0.01856,20.315,20.161,26.46,-1
348,84.592,20.219,750,751,0.01804,20.329,20.145,26.46,-1
349,84.591,20.219,750,751,0.01785,20.345,20.143,26.46,-1
350,84.592,20.22,750,751,0.01748,20.344,20.161,26.46,-1
351,84.592,20.221,750,751,0.01783,20.316,20.143,26.46,-1
352,84.591,20.22,750,751,0.01778,20.328,20.138,26.46,-1
353,84.592,20.22,750,751,0.01777,20.334,20.148,26.46,-1
354,84.591,20.219,750,751,0.01779,20.33,20.132,26.46,114
355,84.591,20.219,750,751,0.018,20.315,20.152,26.46,-1
356,84.591,20.22,750,751,0.0179,20.333,20.126,26.46,-1
357,84.591,20.22,750,751,0.01779,20.326,20.122,26.46,102
358,84.591,20.22,750,751,0.01773,20.333,20.132,26.46,-1
359,84.59,20.219,750,751,0.01765,20.337,20.134,26.46,-1
360,84.59,20.219,750,751,0.0173,20.329,20.156,26.46,-1
361,84.59,20.22,750,751,0.01685,20.349,20.135,26.46,114
362,84.59,20.22,750,751,0.01675,20.368,20.156,26.46,-1
363,84.591,20.22,750,751,0.01687,20.35,20.162,26.46,-1
364,84.591,20.22,750,751,0.01713,20.326,20.143,26.46,-1
365,84.591,20.22,750,751,0.01695,20.319,20.127,26.46,-1
366,84.591,20.219,750,751,0.01719,20.325,20.155,26.46,-1
367,84.591,20.22,750,751,0.01729,20.336,20.142,26.46,-1
368,84.591,20.22,750,751,0.01721,20.345,20.16,26.46,102
369,84.591,20.22,750,751,0.01684,20.348,20.129,26.46,-1
370,84.591,20.22,750,751,0.01641,20.326,20.116,26.46,-1
371,84.591,20.22,750,751,0.01594,20.341,20.143,26.46,-1
