Seconds,Barometric_Pressure,O2,FlowSet,Flow_Rate,CO2,Temp__Aux1_,Temp__Aux2_,FoxBoxTemp,Marker
0,84.697,20.282,750,748,-0.0009,20.41,20.534,24.32,-1
1,84.697,20.282,750,748,-0.0009,20.41,20.534,24.32,-1
2,84.697,20.281,750,748,-0.00101,20.375,20.506,24.32,-1
3,84.697,20.28,750,747,-0.00133,20.369,20.529,24.32,-1
4,84.697,20.28,750,747,-0.00095,20.387,20.555,24.32,-1
5,84.697,20.279,750,747,-0.00107,20.378,20.506,24.32,-1
6,84.697,20.279,750,747,-0.00119,20.384,20.503,24.32,-1
7,84.697,20.278,750,747,-0.00104,20.397,20.52,24.32,-1
8,84.697,20.277,750,747,-0.001,20.392,20.51,24.33,-1
9,84.698,20.276,750,747,-0.00116,20.374,20.524,24.33,-1
10,84.698,20.275,750,748,-0.00125,20.39,20.537,24.33,-1
11,84.698,20.276,750,748,-0.001,20.395,20.515,24.33,-1
12,84.699,20.277,750,748,-0.00096,20.385,20.516,24.33,-1
13,84.698,20.277,750,748,-0.00061,20.372,20.501,24.33,-1
14,84.698,20.277,750,748,-0.00078,20.372,20.499,24.33,-1
15,84.698,20.276,750,748,-0.00091,20.383,20.516,24.33,-1
16,84.698,20.278,750,748,-0.00102,20.391,20.509,24.33,-1
17,84.698,20.277,750,748,-0.00097,20.395,20.511,24.33,-1
18,84.698,20.277,750,748,-0.00097,20.383,20.518,24.33,-1
19,84.698,20.276,750,748,-0.00084,20.398,20.527,24.33,-1
20,84.698,20.277,750,748,-0.00083,20.37,20.493,24.34,-1
21,84.698,20.276,750,748,-0.00145,20.402,20.505,24.34,-1
22,84.698,20.273,750,748,-0.00136,20.373,20.53,24.34,-1
23,84.698,20.27,750,748,-0.0011,20.419,20.541,24.34,-1
24,84.697,20.269,750,749,-0.00091,20.41,20.517,24.34,-1
25,84.697,20.268,750,749,-0.00081,20.386,20.499,24.34,-1
26,84.697,20.267,750,749,-0.00064,20.373,20.514,24.34,-1
27,84.697,20.266,750,749,-0.00092,20.393,20.533,24.34,-1
28,84.696,20.265,750,749,-0.0008,20.371,20.531,24.34,-1
29,84.696,20.266,750,749,-0.00176,20.405,20.531,24.34,-1
30,84.696,20.267,750,749,-0.00146,20.392,20.54,24.34,-1
31,84.696,20.268,750,749,-0.00127,20.396,20.525,24.34,-1
32,84.695,20.268,750,749,-0.00153,20.39,20.514,24.34,-1
33,84.695,20.268,750,750,-0.00129,20.396,20.526,24.35,-1
34,84.695,20.269,750,750,-0.00119,20.381,20.495,24.35,-1
35,84.695,20.272,750,749,-0.0012,20.379,20.512,24.35,-1
36,84.695,20.278,750,743,0.02426,20.382,20.499,24.35,115
37,84.695,20.266,750,745,0.1779,20.386,20.513,24.35,102
38,84.696,20.225,750,747,0.2368,20.389,20.49,24.35,-1
39,84.696,20.169,750,749,0.2482,20.398,20.502,24.35,-1
40,84.695,20.115,750,750,0.2445,20.392,20.536,24.35,-1
41,84.695,20.07,750,751,0.2365,20.39,20.504,24.35,-1
42,84.695,20.034,750,751,0.2283,20.388,20.499,24.35,-1
43,84.694,20.009,750,751,0.2184,20.373,20.505,24.35,-1
44,84.695,19.991,750,751,0.2036,20.394,20.505,24.35,-1
45,84.695,19.981,750,751,0.19,20.383,20.502,24.36,-1
46,84.695,19.977,750,751,0.1833,20.391,20.526,24.36,-1
47,84.695,19.977,750,751,0.1754,20.386,20.497,24.36,-1
48,84.695,19.981,750,751,0.1689,20.406,20.503,24.36,-1
49,84.696,19.988,750,751,0.161,20.377,20.495,24.36,-1
50,84.696,19.994,750,751,0.1528,20.407,20.517,24.36,-1
51,84.696,20.002,750,751,0.1431,20.401,20.5,24.36,-1
52,84.696,20.012,750,751,0.1373,20.385,20.471,24.36,-1
53,84.697,20.021,750,751,0.1354,20.388,20.475,24.36,-1
54,84.697,20.032,750,751,0.1323,20.383,20.491,24.36,-1
55,84.697,20.041,750,751,0.127,20.406,20.497,24.36,-1
56,84.697,20.049,750,751,0.1182,20.407,20.492,24.36,-1
57,84.697,20.057,750,751,0.1115,20.395,20.495,24.37,-1
58,84.697,20.068,750,751,0.1079,20.378,20.488,24.37,-1
59,84.697,20.077,750,751,0.1076,20.42,20.516,24.37,-1
60,84.698,20.085,750,751,0.1084,20.372,20.486,24.37,-1
61,84.698,20.093,750,751,0.1074,20.398,20.495,24.37,-1
62,84.698,20.099,750,751,0.1038,20.403,20.502,24.37,-1
63,84.698,20.105,750,750,0.0997,20.374,20.49,24.37,-1
64,84.698,20.111,750,750,0.09538,20.387,20.505,24.37,114
65,84.698,20.119,750,750,0.0878,20.404,20.514,24.37,-1
66,84.698,20.125,750,750,0.08444,20.383,20.501,24.37,-1
67,84.697,20.13,750,750,0.07975,20.388,20.516,24.37,102
68,84.697,20.135,750,750,0.07534,20.403,20.506,24.37,-1
69,84.697,20.141,750,750,0.06881,20.393,20.485,24.37,-1
70,84.696,20.148,750,750,0.06426,20.379,20.482,24.38,-1
71,84.696,20.154,750,750,0.0626,20.405,20.491,24.38,-1
72,84.696,20.16,750,750,0.06066,20.425,20.486,24.38,-1
