filename,edate,phenotype,meanflightVCO2,sdflightVCO2,meanstable1min,sdstable1min
10-21_Slow01,10/21/21,Slow,10.13650761,1.597894805,10.52343178,0.122369167
10-21_Slow02,10/21/21,Slow,9.153693037,1.457437464,10.64280227,0.45133541
10-21_Slow03,10/21/21,Slow,7.837557722,2.171692894,7.785222765,0.100616901
11-05_001Fast,11/5/21,Fast,8.640407202,0.449056173,8.920760576,0.153186009
11-05_002Fast,11/5/21,Fast,8.528944812,1.668205437,9.026314804,1.153839297
11-05_006Fast,11/5/21,Fast,11.67990089,1.084736186,11.77318205,0.19097268
11-05_007Slow,11/5/21,Slow,10.15894562,1.664411416,11.30606795,1.440040458
11-05_008Slow,11/5/21,Slow,11.27095037,0.904413759,12.05889762,0.185724817
11-05_009Fast,11/5/21,Fast,10.54759875,0.450080611,10.51254256,0.1375899
11-05_0010Fast,11/5/21,Fast,11.59657662,3.863519033,11.94762283,0.133758348
11-05_0017Slow,11/5/21,Slow,2.261772954,1.08323991,2.346351401,0.250870625
11-05_0020Fast,11/5/21,Fast,10.34258749,1.126491583,11.19869016,0.139128583
11-05_0022Slow,11/5/21,Slow,1.103215711,0.817901046,1.138422565,0.334010305
11-05_0023Fast,11/5/21,Fast,9.91442519,1.982755204,8.985756536,0.874329811
11-17_001Fast,11/17/21,Fast,10.57797699,0.955080503,10.7092214,0.12883042
11-17_002Fast,11/17/21,Fast,9.984140258,0.93289143,10.40481164,0.095581302
11-17_003Slow,11/17/21,Slow,9.664897817,0.941262186,9.468296446,0.085783993
11-17_004Slow,11/17/21,Slow,7.837679928,1.974338581,8.266768525,0.17247319
11-17_005Fast,11/17/21,Fast,11.90815103,0.260303394,12.0425696,0.067436578
11-17_008Slow,11/17/21,Slow,5.731794791,1.38490551,5.915062509,0.271035823
11-19_001Fast,11/19/21,Fast,8.706705692,1.597896687,9.874075295,0.145623223
11-19_002Fast,11/19/21,Fast,7.64207214,0.988320257,8.218492245,0.110180975
11-19_003Slow,11/19/21,Slow,6.613757666,0.92920534,6.415944298,0.174847995
11-19_004Slow,11/19/21,Slow,5.186662522,0.539804845,5.058720276,0.276561405
11-19_005Fast,11/19/21,Fast,7.652299625,0.651519782,8.457148277,0.167250328
11-19_006Slow,11/19/21,Slow,8.907641573,0.853367055,9.49973083,0.117883706
11-19_007Slow,11/19/21,Slow,9.201622217,0.64440256,9.525437673,0.135577388
11-19_008Fast,11/19/21,Fast,6.810274004,0.931489939,6.375927722,0.239717779
11-19_009Fast,11/19/21,Fast,11.28562142,0.378452234,11.64611898,0.119545481
11-19_0010Fast,11/19/21,Fast,5.3671345,1.178077687,6.365879429,0.392968557
10-21_Fast03,10/21/21,Fast,9.454987204,8.401935215,10.38946843,0.202087297
10-21_Fast02,10/21/21,Fast,17.83728016,15.49163022,10.21203185,0.77444463
