Bee_ID,Birthdate,Birthweight,Source_colony,NP_observations,Sociality,NonsocNonact,NPWA,NPAQ,NPGO,NPGS,NPTR,NPBE,NPAD,NPVI,NPBC,NPIN,Forage_date,Forage_age,AFF_week,GRS_score,GRS_low,Date_fMR,Age_fMR,Mass_fMR,Date_sMR,Age_sMR,Mass_sMR,RMRMeanstable2min,RMRSDstable2min,RMRMeanlowregion,RMRSDlowregion,RMRMeanlow120,RMRSDlow120,RMRMeanpeak,RMRSDpeak,RMRMeanvalley,RMRSDvalley,RMRMeanperiod,RMRSDperiod,RMRNumberpeaks,Meanallflight,SDallflight,Maxallflight,Meancontig,SDcontig,Maxcontig,Lengthcontig,Meanstable1min,SDstable1min,Maxstable1min,Meanhigh1min,SDhigh1min,Maxhigh1min,Meanhighest120,SDhighest120,Maxhighest120,Date_death,Days_captivity,Age_death,longevity,RMRwcjoule,FMRwcjoule,RMR,RMRpeak,FMR,RMR34,FMR34,Conswc2,ConsJ,ConsJhr,ConsmWwc2,massbal,MB,wt_birthtofMR,RMR2,FMR2,ConsmWwc22,SharefedT1_5ave2,NPBC2,Sociality2,NPWA2,NonsocNonact2,wt_birthtofMR22,wt_birthtofMR2,Birthweight2,longevity2,Forage_age2,AFF_group22,RMR2,FMR2,ConsmWwc22,NPBC2,Sociality2,NPWA2,NonsocNonact2,Birthweight2,longevity2,Forage_age2,AFF_group22
B21,5/28/2018,0.1125,LAP_1,19,0.057,0.412,0.325,0.057,0,0.15,0,0,0,0,0.206,0.262,6/11/2018,14,2,8,1,6/14/2018,17,0.0836,6/15/2018,18,NA,178.6942589,16.41672103,141.5040669,20.71112557,136.0899926,15.95930131,329.8389641,149.6101319,184.4331833,78.21418844,35.07692308,14.95806103,14,602.2275915,133.5854874,868.7330337,592.5042773,137.4676982,868.7330337,163,676.602188,30.50811394,724.9760351,676.602188,30.50811394,724.9760351,714.8897807,46.85650684,868.7330337,6/17/2018,0,20,NA,362.2233291,1731.972108,100.6175914,234.534617,481.1033633,54.10351564,258.6961482,NA,NA,NA,NA,NA,NA,0.0289,10.06175914,48.11033633,NA,2.341,20.6,5.7,32.5,41.2,1.0289,2.89,11.25,NA,14,4,10.06175914,48.11033633,NA,20.6,5.7,32.5,41.2,11.25,NA,14,4
B48,6/4/2018,0.113,LAP_2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/11/2018,7,1,5,7,6/19/2018,15,0.0907,6/20/2018,16,0.1306,89.1108463,48.82208327,89.1108463,48.82208327,177.0347459,51.81978079,479.0368935,65.01820434,256.5305989,127.5847397,30.85714286,20.09154871,15,944.8577703,82.91580426,1089.534008,971.5640976,47.17023022,1056.722054,68,982.0071534,37.01822698,1056.722054,982.0071534,37.01822698,1056.722054,983.895074,34.47513081,1056.722054,6/25/2018,5,21,21,210.2505084,2316.973879,58.40291899,313.9590077,643.6038553,32.0506156,353.1998079,NA,NA,NA,NA,NA,NA,0.0223,5.840291899,64.36038553,NA,NA,NA,NA,NA,NA,1.0223,2.23,11.3,21,7,1,5.840291899,64.36038553,NA,NA,NA,NA,NA,11.3,21,7,1
B49,5/28/2018,0.1201,LAP_1,28,0.078,0.333,0.38,0,0.032,0.135,0.046,0,0,0,0.209,0.198,6/13/2018,16,3,4,1,6/27/2018,30,0.085,6/28/2018,31,0.1264,47.69887841,18.76186469,47.69887841,18.76186469,46.22136561,9.305175955,221.142244,141.5926159,109.2731621,116.6447969,37.5,15.8342105,11,710.7708808,142.7659442,1400.677926,640.7126708,125.1254125,1400.677926,282,628.9482651,9.502113772,653.3295312,791.8053452,99.51455624,1400.677926,792.8958489,99.98613024,1400.677926,7/21/2018,23,54,54,120.0889409,1583.46975,33.35803915,154.6550334,439.8527083,18.01172242,237.4991184,0.402941176,171.5925,7.1496875,23.36499183,-9.993047319,Negative,0.0351,3.335803915,43.98527083,2.336499183,NA,20.9,7.8,38,33.3,1.0351,3.51,12.01,54,16,9,3.335803915,43.98527083,2.336499183,20.9,7.8,38,33.3,12.01,54,16,9
B62,6/4/2018,0.1085,LAP_2,17,0.112,0.3,0.232,0,0.112,0.116,0,0,0,0,0.356,0.184,6/18/2018,14,2,3,5,6/25/2018,21,0.0975,6/26/2018,22,0.078,39.0252408,16.82271624,39.0252408,16.82271624,53.32854859,9.323695056,255.0112632,199.68581,66.91547814,28.18432573,44,30.10352508,11,904.9453014,114.1867838,1119.273508,1034.2349,48.50473734,1119.273508,101,1053.796252,18.86411945,1083.762946,1065.879802,22.97118606,1119.273508,1068.010396,20.51850856,1119.273508,7/3/2018,7,29,29,85.65540032,2312.947671,23.79316676,155.4769525,642.4854642,13.29546106,359.0165427,0.868717949,424.347,17.681125,50.3735755,26.58040874,Positive,0.011,2.379316676,64.24854642,5.03735755,NA,35.6,11.2,23.2,30,1.011,1.1,10.85,29,14,4,2.379316676,64.24854642,5.03735755,35.6,11.2,23.2,30,10.85,29,14,4
B69,6/4/2018,0.1241,LAP_2,17,0,0.278,0.296,0,0,0.11,0,0,0,0,0.426,0.168,6/20/2018,16,3,3,5,7/3/2018,29,0.0867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.7151037,84.53501077,620.9464684,571.7232941,29.36751667,616.7400409,57,571.7232941,29.36751667,616.7400409,571.7232941,29.36751667,616.7400409,571.7232941,29.36751667,616.7400409,7/3/2018,0,29,NA,NA,1411.17399,NA,NA,391.992775,NA,212.7075164,NA,NA,NA,NA,NA,NA,0.0374,NA,39.1992775,NA,NA,42.6,0,29.6,27.8,1.0374,3.74,12.41,NA,16,9,NA,39.1992775,NA,42.6,0,29.6,27.8,12.41,NA,16,9
B85,6/4/2018,0.1149,LAP_2,11,0.094,0.272,0.368,0,0,0.183,0.094,0,0,0,0.266,0.089,6/18/2018,14,2,4,7,6/25/2018,21,0.094,6/26/2018,22,0.1235,141.7555389,14.66926028,139.5848386,14.85941002,102.681576,18.24665449,328.2426495,183.8654448,153.4022601,142.9956738,43.2,25.04573594,11,871.5955086,69.09692453,924.8581877,883.2056195,38.78616965,924.8581877,507,884.9676537,6.901439315,901.7108862,906.2150604,8.401812064,924.8581877,912.3800256,4.751070345,924.8581877,7/8/2018,12,34,34,317.7782496,2014.713595,88.27173599,207.5766164,559.6426652,48.87689752,309.8794522,0.845212766,398.0445,16.5851875,49.01060136,-39.26113463,Negative,0.0209,8.827173599,55.96426652,4.901060136,NA,26.6,9.4,36.8,27.2,1.0209,2.09,11.49,34,14,4,8.827173599,55.96426652,4.901060136,26.6,9.4,36.8,27.2,11.49,34,14,4
B89,6/4/2018,0.1149,LAP_2,18,0.117,0.381,0.161,0,0.117,0.162,0,0,0,0,0.341,0.219,6/11/2018,14,2,3,2,6/14/2018,10,0.1863,6/15/2018,11,NA,157.6535001,47.41160561,140.1282383,48.26513278,85.45841257,27.49792886,224.7308863,84.00364104,100.3596149,48.3242649,30.75,19.61967936,13,719.6690221,79.34864501,818.780877,743.9192931,75.24270444,818.780877,100,792.7423478,17.80868036,818.780877,792.7423478,17.80868036,818.780877,793.5228462,16.8814205,818.780877,6/19/2018,0,15,NA,160.9631938,910.6111778,44.71199826,71.70693873,252.9475494,29.37496065,166.1818885,NA,NA,NA,NA,NA,NA,-0.0714,4.471199826,25.29475494,NA,NA,34.1,11.7,16.1,38.1,0.9286,-7.14,11.49,NA,14,4,4.471199826,25.29475494,NA,34.1,11.7,16.1,38.1,11.49,NA,14,4
B90,6/4/2018,0.1165,LAP_2,15,0,0.532,0.33,0,0,0.206,0,0,0,0,0.138,0.326,6/20/2018,16,3,3,1,6/21/2018,17,0.0829,6/22/2018,18,0.1108,118.8551168,19.79835467,59.47987603,25.13730572,40.41706589,3.024589307,95.40568762,38.37801774,59.0268638,37.06200725,34.30769231,20.29525649,14,323.6199211,102.5162558,469.0742752,378.3814451,37.00207009,469.0742752,44,378.3814451,37.00207009,469.0742752,378.3814451,37.00207009,469.0742752,378.3814451,37.00207009,469.0742752,7/6/2018,14,32,32,153.5427439,976.7627171,42.6507622,68.41179852,271.322977,22.88576475,145.5878747,1.626457575,675.5149983,28.14645826,94.31194968,51.66118749,Positive,0.0336,4.26507622,27.1322977,9.431194968,NA,13.8,0,33,53.2,1.0336,3.36,11.65,32,16,9,4.26507622,27.1322977,9.431194968,13.8,0,33,53.2,11.65,32,16,9
B97,6/4/2018,0.1139,LAP_2,16,0.192,0.172,0.441,0.07,0.122,0.11,0,0,0,0,0.195,0.062,6/13/2018,9,2,8,1,6/25/2018,21,0.0826,6/26/2018,22,0.1317,224.002047,36.98988203,165.8258337,58.03453128,136.8657945,35.18471082,275.9385482,55.80536826,182.0058243,64.27753912,35.76923077,10.36945712,14,679.5326084,169.1682634,876.4598437,735.234628,65.92934158,822.2570512,162,794.6666065,14.5982439,822.2570512,794.9171452,14.62676525,822.2570512,796.7407247,12.43170726,822.2570512,7/8/2018,12,34,34,429.6214093,2058.821474,119.3392804,198.583701,571.894854,63.97767104,306.5922697,0.994400726,411.508875,17.14620313,57.66143101,-61.67784936,Negative,0.0313,11.93392804,57.1894854,5.766143101,NA,19.5,19.2,44.1,17.2,1.0313,3.13,11.39,34,9,4,11.93392804,57.1894854,5.766143101,19.5,19.2,44.1,17.2,11.39,34,9,4
B99,6/4/2018,0.1111,LAP_2,18,0.051,0.56,0.217,0,0,0,0.051,0,0,0,0.172,0.56,6/11/2018,7,1,8,1,6/27/2018,23,0.0821,6/28/2018,24,0.1129,77.44910738,27.10994218,67.32347363,32.60790542,45.00078677,9.31747836,109.024433,43.54478481,54.13302842,26.25159387,24.92307692,8.067026904,14,768.7892663,101.0643496,1167.103378,754.9232176,68.83061738,864.2308892,238,793.9694402,14.66829208,819.5385855,813.4362815,28.40875347,864.2308892,824.8505125,15.40093312,864.2308892,7/8/2018,10,34,34,175.4838411,2069.542755,48.74551143,78.9390603,574.8729876,26.09278408,307.7213943,1.417478685,583.03875,24.29328125,82.1940765,33.44856507,Positive,0.029,4.874551143,57.48729876,8.21940765,NA,17.2,5.1,21.7,56,1.029,2.9,11.11,34,7,1,4.874551143,57.48729876,8.21940765,17.2,5.1,21.7,56,11.11,34,7,1
