Seconds,Barometric_Pressure,Flow_Rate,Oxygen,Water_Vapor,Carbon_Dioxide,Marker
0,83.9013,751.5583,19.59528,6.15E-02,2.88E-03,-1
1,83.89349,751.7146,19.59567,6.10E-02,3.07E-03,-1
2,83.9013,751.6208,19.59739,5.90E-02,3.06E-03,-1
3,83.89192,751.6208,19.5988,5.66E-02,3.10E-03,-1
4,83.89349,751.4958,19.5995,5.44E-02,2.68E-03,-1
5,83.89818,751.6208,19.59974,5.22E-02,2.68E-03,-1
6,83.90443,751.4333,19.60044,0.0500164,2.66E-03,-1
7,83.9138,751.4021,19.59958,4.80E-02,2.45E-03,-1
8,83.89037,751.6833,19.59974,4.60E-02,2.02E-03,-1
9,83.89192,751.6833,19.60106,4.44E-02,1.95E-03,-1
10,83.92161,751.2146,19.60091,4.26E-02,2.02E-03,-1
11,83.88879,751.4333,19.60075,4.10E-02,1.92E-03,-1
12,83.90755,751.7146,19.6006,3.95E-02,1.53E-03,-1
13,83.9138,751.3396,19.60005,3.81E-02,1.44E-03,-1
14,83.89973,751.6208,19.60224,3.65E-02,1.67E-03,-1
15,83.89037,750.7146,19.60036,3.51E-02,1.40E-03,-1
16,83.91224,751.6208,19.60036,0.0338599,0.0014219,-1
17,83.89973,750.8396,19.60208,3.26E-02,1.39E-03,-1
18,83.88567,750.9958,19.60271,3.16E-02,1.33E-03,-1
19,83.89973,751.5896,19.60271,3.05E-02,1.41E-03,-1
20,83.89818,751.4958,19.60411,2.94E-02,1.31E-03,-1
21,83.90755,751.5896,19.6045,2.80E-02,1.30E-03,-1
22,83.9013,751.5583,19.60442,2.75E-02,1.23E-03,-1
23,83.91536,751.0271,19.60442,2.65E-02,1.02E-03,-1
24,83.92005,750.9021,19.60184,2.57E-02,8.78E-04,-1
25,83.90755,751.0271,19.60466,2.47E-02,9.47E-04,-1
26,83.87786,751.0271,19.60474,0.0239535,7.16E-04,-1
27,83.90599,751.4646,19.60521,2.32E-02,8.22E-04,-1
28,83.90911,751.7458,19.60192,2.25E-02,9.16E-04,-1
29,83.8763,751.5583,19.60567,2.19E-02,6.66E-04,-1
30,83.90286,751.4958,19.60544,2.12E-02,7.84E-04,-1
31,83.89661,751.0271,19.60294,2.05E-02,8.84E-04,-1
32,83.89818,751.2458,19.60528,2.01E-02,7.28E-04,-1
33,83.88567,751.4021,19.60474,1.94E-02,6.53E-04,-1
34,83.9013,751.5583,19.60395,1.89E-02,2.59E-04,-1
35,83.90599,751.3708,19.60638,1.83E-02,5.03E-04,-1
36,83.89192,751.6833,19.60599,1.79E-02,5.09E-04,-1
37,83.88879,751.3708,19.60325,1.74E-02,7.19E-05,-1
38,83.90286,751.6833,19.60544,0.0170784,4.34E-04,-1
39,83.87318,750.9958,19.60513,1.66E-02,6.34E-04,-1
40,83.89192,750.6521,19.60442,1.61E-02,4.16E-04,-1
41,83.89037,751.2771,19.60645,1.56E-02,5.78E-04,-1
42,83.90911,751.4646,19.60622,1.54E-02,5.41E-04,-1
43,83.89192,751.1208,19.60552,1.51E-02,4.78E-04,-1
44,83.9013,751.5896,19.60474,1.48E-02,7.03E-04,-1
45,83.90911,751.3708,19.60645,1.44E-02,4.91E-04,-1
46,83.90286,751.6833,19.60435,1.42E-02,8.03E-04,-1
47,83.91068,750.9958,19.60302,0.0138596,7.03E-04,-1
48,83.89818,751.3708,19.60505,1.36E-02,4.53E-04,-1
49,83.90599,751.6521,19.60474,1.33E-02,1.41E-04,-1
50,83.88567,751.1521,19.60614,1.32E-02,4.34E-04,-1
51,83.87943,751.7458,19.60661,1.29E-02,5.53E-04,-1
52,83.9013,751.1208,19.60559,1.26E-02,4.53E-04,-1
53,83.89818,751.1833,19.60677,1.24E-02,4.84E-04,-1
54,83.90911,751.0583,19.60528,1.21E-02,4.53E-04,-1
55,83.89037,751.5583,19.60614,1.20E-02,3.97E-04,-1
56,83.90286,750.9958,19.60528,1.18E-02,5.47E-04,-1
57,83.88879,751.0583,19.60388,1.16E-02,6.16E-04,-1
58,83.89661,751.5271,19.60466,1.13E-02,6.09E-04,-1
59,83.89818,751.4646,19.60591,1.13E-02,6.47E-04,86
60,83.89037,751.5271,19.60622,1.12E-02,6.34E-04,-1
61,83.89818,752.2772,19.60723,1.11E-02,5.22E-04,-1
62,83.89192,752.9333,19.60989,0.0365162,1.17E-03,-1
63,83.89818,753.5896,19.61255,0.1667057,1.53E-02,-1
64,83.91692,753.8397,19.61177,0.3796152,3.95E-02,-1
65,83.9138,754.5272,19.59286,0.6024936,5.85E-02,-1
66,83.89818,754.8709,19.55575,0.7391207,0.0706417,-1
67,83.90755,754.6209,19.51169,0.7880902,8.72E-02,-1
68,83.91224,755.2147,19.46997,0.7966216,9.12E-02,-1
69,83.90443,753.8708,19.44708,0.8126842,8.60E-02,-1
70,83.91068,753.1522,19.42833,0.793309,8.51E-02,-1
71,83.9013,752.7147,19.41637,0.724933,7.14E-02,-1
72,83.90911,752.3709,19.41059,0.6392129,5.58E-02,33
73,83.89037,752.0271,19.41747,0.5497741,4.17E-02,-1
74,83.90599,751.5271,19.43114,0.4670853,3.17E-02,-1
75,83.88879,751.2146,19.45106,0.3975842,2.35E-02,-1
76,83.90599,751.0583,19.47091,0.3411458,1.85E-02,-1
77,83.88255,750.9958,19.49286,0.2960827,1.58E-02,-1
78,83.88567,751.3396,19.51231,0.2600821,1.35E-02,-1
79,83.91068,751.4646,19.52825,0.2314254,1.25E-02,-1
80,83.90755,751.3083,19.53942,0.2081438,1.20E-02,-1
81,83.91224,750.9021,19.54833,0.1883623,1.12E-02,-1
82,83.88099,750.9958,19.55833,0.1715808,1.08E-02,-1
83,83.90599,751.1208,19.56302,0.157268,1.05E-02,-1
84,83.87161,751.0896,19.56802,0.1447991,9.88E-03,-1
85,83.90911,751.3708,19.57083,0.1339864,9.78E-03,-1
86,83.91068,751.0583,19.57395,0.1245488,9.52E-03,-1
87,83.90911,751.3708,19.57911,0.1163612,9.58E-03,-1
88,83.89661,751.4646,19.57731,0.1093298,9.06E-03,-1
89,83.91849,750.8083,19.58138,0.1032047,8.77E-03,-1
90,83.90911,750.9333,19.58356,9.77E-02,8.44E-03,-1
91,83.88724,751.5271,19.58302,9.25E-02,8.12E-03,-1
92,83.90755,751.3083,19.58692,8.74E-02,7.93E-03,-1
93,83.90443,751.1208,19.58747,0.0828919,7.81E-03,-1
94,83.87473,751.1833,19.58645,7.87E-02,7.83E-03,-1
95,83.90286,751.4958,19.58911,7.50E-02,7.89E-03,-1
