Seconds,Barometric_Pressure,Flow_Rate,Oxygen,Water_Vapor,Carbon_Dioxide,Marker
0,83.93098,767.1523,19.88685,0.0462351,1.90E-03,-1
1,83.93255,766.9961,19.88544,0.0462351,1.73E-03,-1
2,83.89973,766.9961,19.88482,4.50E-02,1.77E-03,-1
3,83.90911,767.1211,19.88498,4.39E-02,1.89E-03,-1
4,83.94036,767.3086,19.88732,4.26E-02,1.48E-03,-1
5,83.9263,766.9336,19.88677,4.14E-02,1.64E-03,-1
6,83.91536,766.5273,19.88708,0.0402975,1.76E-03,-1
7,83.92786,766.371,19.88482,3.92E-02,1.71E-03,-1
8,83.93255,765.7461,19.88474,3.80E-02,1.52E-03,-1
9,83.94036,765.246,19.88349,3.71E-02,1.48E-03,-1
10,83.92161,764.3398,19.88615,3.61E-02,1.30E-03,-1
11,83.93098,764.5273,19.88482,3.52E-02,1.20E-03,-1
12,83.92943,764.2148,19.88388,3.43E-02,1.26E-03,-1
13,83.92161,764.6835,19.88357,0.0332974,9.78E-04,-1
14,83.9388,764.746,19.88349,3.27E-02,1.21E-03,-1
15,83.90286,764.4648,19.88365,3.20E-02,7.78E-04,-1
16,83.9263,765.1835,19.88333,3.13E-02,1.08E-03,-1
17,83.92786,764.6835,19.88396,3.06E-02,8.09E-04,-1
18,83.93568,764.7148,19.88154,2.99E-02,9.72E-04,-1
19,83.91849,763.7773,19.88404,2.93E-02,1.05E-03,-1
20,83.94505,763.996,19.88271,2.86E-02,1.02E-03,-1
21,83.93568,763.746,19.88326,2.81E-02,8.97E-04,-1
22,83.90443,763.871,19.88161,2.76E-02,9.72E-04,-1
23,83.94349,763.4335,19.88216,0.0271723,1.20E-03,-1
24,83.93411,763.246,19.88216,0.0266098,1.07E-03,-1
25,83.94661,762.371,19.88271,2.61E-02,9.78E-04,-1
26,83.91224,761.996,19.88208,2.58E-02,9.22E-04,-1
27,83.90286,762.496,19.88427,3.23E-02,2.05E-03,-1
28,83.89661,762.871,19.88302,3.99E-02,4.15E-03,-1
29,83.90911,763.8085,19.8849,4.37E-02,3.36E-03,-1
30,83.93098,764.0273,19.88365,4.49E-02,2.65E-03,-1
31,83.91692,764.746,19.8824,4.49E-02,2.25E-03,-1
